,Pos,Driver,Team,Pts,Deficit
0,1,L Hamilton,Mercedes,347,
1,2,V Bottas,Mercedes,223,-124
2,3,M Verstappen,Red Bull,214,-133
3,4,S Perez,Racing Point,125,-222
4,5,D Ricciardo,Alpine,119,-228
5,6,C Sainz,McLaren,105,-242
6,7,A Albon,Red Bull,105,-242
7,8,C Leclerc,Ferrari,98,-249
8,9,L Norris,McLaren,97,-250
9,10,P Gasly,Alpha Tauri,75,-272
10,11,L Stroll,Aston Martin,75,-272
11,12,E Ocon,Alpine,62,-285
12,13,S Vettel,Ferrari,33,-314
13,14,D Kvyat,Alpha Tauri,32,-315
14,15,N Hulkenberg,Aston Martin,10,-337
15,16,K Raikkonen,Alfa Romeo,4,-343
16,17,A Giovinazzi,Alfa Romeo,4,-343
17,18,G Russell,Williams,3,-344
18,19,R Grosjean,Haas,2,-345
19,20,K Magnussen,Haas,1,-346
20,21,N Latifi,Williams,0,-347
